keyword,reported_monthly_volume,reported_difficulty,difficulty_freshness_label,reported_position_status,cluster,primary_url,editorial_priority,coverage_action,market,language,evidence,captured_on,measurement_period,independently_verified
clean my mac,27100,33,Outdated,Not ranked,CleanMyMac / general cleanup,https://cleardisk.app/blog/how-should-i-clean-my-mac,P1,Strengthened,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
cleanmymac mac,22200,37,Outdated,Pending / Unstable,CleanMyMac / general cleanup,https://cleardisk.app/blog/how-should-i-clean-my-mac,P1,Strengthened,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
clean my mac for mac,22200,22,Outdated,Pending / Unstable,CleanMyMac / general cleanup,https://cleardisk.app/blog/how-should-i-clean-my-mac,P1,Strengthened,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
appcleaner macos,14800,55,2 months ago,Pending / Unstable,AppCleaner,https://cleardisk.app/blog/appcleaner-os-x,P1,Existing; new inbound links,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
appcleaner mac app,14800,19,Outdated,Pending / Unstable,AppCleaner,https://cleardisk.app/blog/appcleaner-os-x,P1,Existing; new inbound links,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
appcleaner os x,14800,19,Outdated,Pending / Unstable,AppCleaner,https://cleardisk.app/blog/appcleaner-os-x,P1,Existing; new inbound links,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
mac cleaner app,9900,63,Outdated,Not ranked,Choosing a cleaner,https://cleardisk.app/best-free-mac-cleaner,P1,Strengthened,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
uninstalling applications mac,8100,20,Outdated,Not ranked,Uninstalling apps,https://cleardisk.app/uninstall-apps-on-mac,P1,Corrected and strengthened,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
appcleaner mac os x,8100,51,Outdated,Pending / Unstable,AppCleaner,https://cleardisk.app/blog/appcleaner-os-x,P1,Existing; new inbound links,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
app cleaner mac os x,6600,8,Outdated,Pending / Unstable,AppCleaner,https://cleardisk.app/blog/appcleaner-os-x,P1,Existing; new inbound links,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
app cleaner on mac,5400,8,Outdated,Pending / Updating Today,AppCleaner,https://cleardisk.app/blog/appcleaner-os-x,P1,Existing; new inbound links,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
app cleaner mac,5400,16,Outdated,Pending / Updating Today,AppCleaner,https://cleardisk.app/blog/appcleaner-os-x,P1,Existing; new inbound links,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
how to free disc space on mac,5400,17,Outdated,Pending / Unstable,Freeing disk space,https://cleardisk.app/free-up-space-on-mac,P2,Corrected and strengthened,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
appcleaner,5400,36,Outdated,Not ranked,AppCleaner,https://cleardisk.app/blog/appcleaner-os-x,P1,Existing; new inbound links,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
app cleaner app mac,5400,8,Outdated,Pending / Unstable,AppCleaner,https://cleardisk.app/blog/appcleaner-os-x,P1,Existing; new inbound links,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
macbook app cleaner,5400,68,Outdated,Not ranked,Choosing a cleaner,https://cleardisk.app/best-free-mac-cleaner,P1,Strengthened,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
how to clear system data on mac,5400,27,2 months ago,Pending / Unstable,System Data cleanup,https://cleardisk.app/clear-system-data-on-mac,P2,Already covered; retained,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
how to clear disc space on mac,5400,44,Outdated,Not ranked,Freeing disk space,https://cleardisk.app/free-up-space-on-mac,P2,Corrected and strengthened,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
how to free up disk space on mac,4400,36,2 months ago,Pending / Updating Today,Freeing disk space,https://cleardisk.app/free-up-space-on-mac,P2,Corrected and strengthened,United States,English,Owner screenshot codex-clipboard-7c34c35b-e643-4740-8265-aa30de14986a.png,2026-09-26,Unknown,No
